round,ticks,transitions,epsilon,avg_score,best_score,accuracy,died_wall,died_self,starved,loss,seconds
80,1143,29465840,0.0050,28.732,68,0.9669,78,901,21,0.61445,3.86
81,1099,29884851,0.0050,27.987,65,0.9677,110,854,36,0.69906,3.75
82,1075,30296012,0.0050,27.415,60,0.9657,77,886,37,0.71833,3.69
83,1111,30734812,0.0050,29.273,63,0.9678,81,886,33,0.60509,3.94
84,1247,31165314,0.0050,28.624,69,0.9657,96,845,59,0.73023,3.94
85,1098,31587120,0.0050,28.158,63,0.9657,86,858,56,0.49940,3.83
86,1003,31999331,0.0050,27.572,61,0.9654,77,854,69,0.61654,3.68
87,1104,32413991,0.0050,27.616,67,0.9685,112,840,48,0.48780,3.78
88,1169,32836489,0.0050,28.135,66,0.9675,108,853,39,0.56311,3.86
89,1129,33255837,0.0050,27.954,72,0.9673,94,864,42,0.57768,3.79
90,1066,33677421,0.0050,28.151,64,0.9663,88,869,43,0.60641,3.76
91,997,34086869,0.0050,27.586,59,0.9683,95,863,42,0.60558,3.68
92,1135,34504878,0.0050,28.016,68,0.9665,89,880,31,0.46527,3.78
93,1235,34917131,0.0050,27.550,63,0.9682,77,868,55,0.68279,3.81
94,1216,35341156,0.0050,28.119,64,0.9652,98,857,45,0.51799,3.88
95,1157,35754256,0.0050,27.341,71,0.9677,76,880,44,0.70103,3.76
96,1029,36171937,0.0050,27.950,58,0.9678,93,864,43,0.50545,3.76
97,1117,36589436,0.0050,27.893,66,0.9663,91,871,38,0.63625,3.79
98,962,37009660,0.0050,28.153,57,0.9692,93,887,20,0.36008,3.72
99,1318,37434912,0.0050,28.287,69,0.9667,94,864,42,0.59955,3.97
100,1092,37860779,0.0050,28.296,68,0.9659,85,858,57,0.57132,3.87
